fromaccount,toaccount,syscode,timestamp,amount
A10261,1000143,81,2014/9/27 16:25,580
A11648,1000091,19,2014/9/13 21:58,12
A11648,1000091,19,2014/9/13 21:57,66
A11648,1000091,19,2014/9/13 22:02,200
A11648,1000091,19,2014/9/13 21:54,200
A11648,1000010,30,2014/9/13 12:06,1200
A11648,1000091,19,2014/9/13 21:55,200
A11648,1000185,38,2014/9/13 17:18,1980
A11648,1000060,38,2014/9/13 17:15,400
A11648,1000011,30,2014/9/14 6:33,400
A11648,1000091,19,2014/9/14 20:58,130
A11648,1000091,19,2014/9/14 20:59,16
A11648,1000091,19,2014/9/14 20:51,12
A11648,1000055,38,2014/9/14 16:55,766
A11648,1000212,38,2014/9/14 11:01,600
A11648,1000091,19,2014/9/15 20:59,106
A11648,1000031,34,2014/9/15 16:51,180
A11648,1000031,34,2014/9/15 16:49,200
A11648,1000016,28,2014/9/15 15:42,300
A11648,1000010,30,2014/9/15 7:03,500
A11648,1000011,30,2014/9/15 6:59,450
A11648,1000091,19,2014/9/15 21:04,68
A11648,1000215,34,2014/9/16 17:18,800
A11648,1000031,34,2014/9/16 17:14,500
A11648,1000091,19,2014/9/16 21:04,84
A11648,1000091,19,2014/9/16 21:07,48
A11648,1000010,30,2014/9/16 8:15,300
A11648,1000015,99,2014/9/16 11:49,766
A11648,1000091,19,2014/9/16 21:08,2
A11648,1000011,30,2014/9/17 6:39,150
A11648,1000010,30,2014/9/17 6:40,100
A11648,1000001,30,2014/9/17 6:38,100
A11648,1000029,34,2014/9/17 17:38,150
A11648,1000005,28,2014/9/17 11:52,950
A11648,1000029,34,2014/9/17 17:38,250
A11648,1000007,30,2014/9/17 12:07,400
A11648,1000091,19,2014/9/17 19:08,114
A11648,1000091,19,2014/9/17 19:12,52
A11648,1000001,30,2014/9/18 6:39,70
A11648,1000011,30,2014/9/18 6:38,250
A11648,1000011,30,2014/9/18 6:38,150
A11648,1000015,99,2014/9/18 11:34,744
A11648,1000040,34,2014/9/18 17:57,800
A11648,1000029,34,2014/9/18 17:48,150
A11648,1000003,30,2014/9/19 6:36,250
A11648,1000003,30,2014/9/19 6:36,140
A11648,1000011,30,2014/9/19 11:29,800
A11648,1000011,30,2014/9/19 17:51,150
A11648,1000010,30,2014/9/19 17:41,800
A11648,1000010,30,2014/9/20 7:11,100
A11648,1000011,30,2014/9/20 7:11,400
A11648,1000007,30,2014/9/20 12:06,320
A11648,1000001,30,2014/9/20 11:52,1044
A11648,1000091,19,2014/9/20 16:17,144
A11648,1000091,19,2014/9/20 16:22,72
A11648,1000003,30,2014/9/21 7:04,200
A11648,1000003,30,2014/9/21 7:04,250
A11648,1000029,34,2014/9/22 6:56,500
A11648,1000029,34,2014/9/22 6:57,150
A11648,1000027,34,2014/9/22 7:07,450
A11648,1000001,30,2014/9/23 11:41,766
A11648,1000011,30,2014/9/23 6:51,400
A11648,1000011,30,2014/9/23 16:51,450
A11648,1000091,19,2014/9/23 16:45,74
A11648,1000091,19,2014/9/23 16:40,130
A11648,1000001,30,2014/9/24 11:54,516
A11648,1000011,30,2014/9/24 7:54,500
A11648,1000027,34,2014/9/24 17:43,516
A11648,1000031,34,2014/9/24 17:44,200
A11648,1000091,19,2014/9/24 18:43,90
A11648,1000091,19,2014/9/24 18:48,78
A11648,1000010,30,2014/9/25 6:40,100
A11648,1000011,30,2014/9/25 6:38,250
A11648,1000011,30,2014/9/25 6:39,150
A11648,1000002,99,2014/9/25 11:32,766
A11648,1000091,19,2014/9/25 20:00,50
A11648,1000091,19,2014/9/25 19:56,114
A11648,1000091,19,2014/9/25 19:50,2
A11648,1000003,30,2014/9/26 11:40,900
A11648,1000011,30,2014/9/26 6:37,450
A11648,1000011,30,2014/9/26 11:49,250
A11648,1000001,30,2014/9/26 6:38,100
A11648,1000003,30,2014/9/26 17:34,650
A11648,1000016,28,2014/9/26 12:06,800
